ID,Name,Description
1,zyimezyime,
2,buruburu,
3,atatakai,
4,dokidoki,
5,pokapoka,
6,syimeQpoi,
7,kemui,
8,musyimusyi,
9,piNpiN,
10,kitsui,
11,uresyii,
12,nurunuru,
13,syibui,
14,usui,
15,(syioazyi ga) usui,
16,tyikutyiku,
17,misuborasyii,
18,zokuzoku,
19,zukizuki,
20,zyikuzyiku,
21,tsurutsuru,
22,kayui,
23,kowai-dokidokicomp,
24,taputapu,
25,syoQpai,
26,syobosyobo,
27,urusai,
28,nikoniko,
29,minikui,
30,oisyii,
31,kiNkiN,
32,darui,
33,nemui,
34,himozyii,
35,kiiN,
36,kowai,
37,tyikatyika-sun,
38,zarazara,
39,mabusyii,
40,tsumetai,
41,suzusyii,
42,mazui,
43,syiin,
44,zurui,
45,suQkirisyinai,
46,netyinetyi,
47,syikusyiku,
48,guQtari,
49,syindoi,
50,zuuzuusyii,
51,karai,
52,kurai,
53,syizukada,
54,tyikatyika-TV,
55,netyanetya,
56,iraira,
57,zyireQtai,
58,samui,
59,shuuneN,
60,akarui,
61,boroboro,
62,kirei,
63,gangan,
64,hirihiri,
